   2.22400000 -149.99109371
   2.21393289 -149.98889872
   2.20386577 -149.98675952
   2.19379866 -149.79916915
   2.18373154 -149.79921771
   2.17366443 -149.79926904
   2.16359732 -149.79932267
   2.15353020 -149.79937848
   2.14346309 -149.79943697
   2.13339597 -149.79949838
   2.12332886 -149.79956298
   2.11326174 -149.79963107
   2.10319463 -149.79970297
   2.09312752 -149.79977905
   2.08306040 -149.79985969
   2.07299329 -149.79994533
   2.06292617 -149.80003645
   2.05285906 -149.80013343
   2.04279195 -149.80023709
   2.03272483 -149.80034793
   2.02265772 -149.80046662
   2.01259060 -149.80059390
   2.00252349 -149.80073060
   1.99245638 -149.80087767
   1.98238926 -149.80103591
   1.97232215 -149.80120647
   1.96225503 -149.80139048
   1.95218792 -149.80158918
   1.94212081 -149.80180394
   1.93205369 -149.80203623
   1.92198658 -149.80228765
   1.91191946 -149.80255996
   1.90185235 -149.80285503
   1.89178523 -149.80317493
   1.88171812 -149.80352189
   1.87165101 -149.80389835
   1.86158389 -149.80430692
   1.85151678 -149.80475033
   1.84144966 -149.80523194
   1.83138255 -149.80575497
   1.82131544 -149.80632308
   1.81124832 -149.80694021
   1.80118121 -149.80761065
   1.79111409 -149.80833902
   1.78104698 -149.80913038
   1.77097987 -149.80999017
   1.76091275 -149.81092430
   1.75084564 -149.81193918
   1.74077852 -149.81304176
   1.73071141 -149.81423957
   1.72064430 -149.81554077
   1.71057718 -149.81695422
   1.70051007 -149.81848950
   1.69044295 -149.82015703
   1.68037584 -149.82196807
   1.67030872 -149.82393488
   1.66024161 -149.82607098
   1.65017450 -149.82839001
   1.64010738 -149.83090824
   1.63004027 -149.83364236
   1.61997315 -149.83661071
   1.60990604 -149.83983368
   1.59983893 -149.84333184
   1.58977181 -149.84712891
   1.57970470 -149.85125007
   1.56963758 -149.85572315
   1.55957047 -149.86057692
   1.54950336 -149.86584292
   1.53943624 -149.87155586
   1.52936913 -149.87775325
   1.51930201 -149.88447207
   1.50923490 -149.89175801
   1.49916779 -149.89964958
   1.48910067 -149.90819720
   1.47903356 -149.91585711
   1.46896644 -149.91906710
   1.45889933 -149.92234061
   1.44883221 -149.92568057
   1.43876510 -149.92909010
   1.42869799 -149.93257237
   1.41863087 -149.93613153
   1.40856376 -149.93977146
   1.39849664 -149.94349666
   1.38842953 -149.94731203
   1.37836242 -149.95122294
   1.36829530 -149.95523524
   1.35822819 -149.95935537
   1.34816107 -149.96359033
   1.33809396 -149.96794777
   1.32802685 -149.97243628
   1.31795973 -149.97706426
   1.30789262 -149.98184181
   1.29782550 -149.98678111
   1.28775839 -149.99189244
   1.27769128 -149.99718879
   1.26762416 -150.00268503
   1.25755705 -150.00839919
   1.24748993 -150.01434325
   1.23742282 -150.02054313
   1.22735570 -150.02386643
   1.21728859 -150.02382591
   1.20722148 -150.02354069
   1.19715436 -150.02298912
   1.18708725 -150.02214804
   1.17702013 -150.02099275
   1.16695302 -150.01949693
   1.15688591 -150.01763253
   1.14681879 -150.01536967
   1.13675168 -150.01267656
   1.12668456 -150.00951933
   1.11661745 -150.00586200
   1.10655034 -150.00166627
   1.09648322 -149.99689144
   1.08641611 -149.99149428
   1.07634899 -149.98542885
   1.06628188 -149.97864636
   1.05621477 -149.97109503
   1.04614765 -149.96271987
   1.03608054 -149.95346254
   1.02601342 -149.94326112
   1.01594631 -149.93204991
   1.00587919 -149.91975919
   0.99581208 -149.90631504
   0.98574497 -149.89163898
   0.97567785 -149.87564774
   0.96561074 -149.85825294
   0.95554362 -149.83936082
   0.94547651 -149.81887181
   0.93540940 -149.79668019
   0.92534228 -149.77267368
   0.91527517 -149.74673299
   0.90520805 -149.71873137
   0.89514094 -149.68853400
   0.88507383 -149.65599757
   0.87500671 -149.62096956
   0.86493960 -149.58328769
   0.85487248 -149.54277908
   0.84480537 -149.49925959
   0.83473826 -149.45253301
   0.82467114 -149.40238996
   0.81460403 -149.34860719
   0.80453691 -149.29094637
   0.79446980 -149.22915297
   0.78440268 -149.16295504
   0.77433557 -149.09206186
   0.76426846 -149.01616253
   0.75420134 -148.93492423
   0.74413423 -148.84799076
   0.73406711 -148.75498056
   0.72400000 -148.65548469
