   2.22400000 -149.23011966 
   2.21393289 -149.23317087 
   2.20386577 -149.23625286 
   2.19379866 -149.57078337 
   2.18373154 -149.57068849 
   2.17366443 -149.57058942 
   2.16359732 -149.57048604 
   2.15353020 -149.57037822 
   2.14346309 -149.57026584 
   2.13339597 -149.57014877 
   2.12332886 -149.57002692 
   2.11326174 -149.56990015 
   2.10319463 -149.56976838 
   2.09312752 -149.56963151 
   2.08306040 -149.56948945 
   2.07299329 -149.56934212 
   2.06292617 -149.56918946 
   2.05285906 -149.56903142 
   2.04279195 -149.56886796 
   2.03272483 -149.56869907 
   2.02265772 -149.56852474 
   2.01259060 -149.56834500 
   2.00252349 -149.56815990 
   1.99245638 -149.56796950 
   1.98238926 -149.56777391 
   1.97232215 -149.56757327 
   1.96225503 -149.56736776 
   1.95218792 -149.56715757 
   1.94212081 -149.56694298 
   1.93205369 -149.56672428 
   1.92198658 -149.56650183 
   1.91191946 -149.56627605 
   1.90185235 -149.56604741 
   1.89178523 -149.56581646 
   1.88171812 -149.56558381 
   1.87165101 -149.56535016 
   1.86158389 -149.56511631 
   1.85151678 -149.56488313 
   1.84144966 -149.56465160 
   1.83138255 -149.56442283 
   1.82131544 -149.56419803 
   1.81124832 -149.56397854 
   1.80118121 -149.56376587 
   1.79111409 -149.56356165 
   1.78104698 -149.56336769 
   1.77097987 -149.56318598 
   1.76091275 -149.56301869 
   1.75084564 -149.56286823 
   1.74077852 -149.56273721 
   1.73071141 -149.56262849 
   1.72064430 -149.56254519 
   1.71057718 -149.56249073 
   1.70051007 -149.56246881 
   1.69044295 -149.56248348 
   1.68037584 -149.56253915 
   1.67030872 -149.56264061 
   1.66024161 -149.56279306 
   1.65017450 -149.56300215 
   1.64010738 -149.56327403 
   1.63004027 -149.56361534 
   1.61997315 -149.56403331 
   1.60990604 -149.56453576 
   1.59983893 -149.56513116 
   1.58977181 -149.56582869 
   1.57970470 -149.56663827 
   1.56963758 -149.56757063 
   1.55957047 -149.56863737 
   1.54950336 -149.56985099 
   1.53943624 -149.57122502 
   1.52936913 -149.57277400 
   1.51930201 -149.57451359 
   1.50923490 -149.57646066 
   1.49916779 -149.57863329 
   1.48910067 -149.58105089 
   1.47903356 -149.58372529 
   1.46896644 -149.58647835 
   1.45889933 -149.58923243 
   1.44883221 -149.59198657 
   1.43876510 -149.59473982 
   1.42869799 -149.59749124 
   1.41863087 -149.60023989 
   1.40856376 -149.60298486 
   1.39849664 -149.60572526 
   1.38842953 -149.60846021 
   1.37836242 -149.61118887 
   1.36829530 -149.61391040 
   1.35822819 -149.61662401 
   1.34816107 -149.61932893 
   1.33809396 -149.62202440 
   1.32802685 -149.62470970 
   1.31795973 -149.62738410 
   1.30789262 -149.63004690 
   1.29782550 -149.63269738 
   1.28775839 -149.63533483 
   1.27769128 -149.63795852 
   1.26762416 -149.64056772 
   1.25755705 -149.64316165 
   1.24748993 -149.64573950 
   1.23742282 -149.64830042 
   1.22735570 -149.65081476 
   1.21728859 -149.65309501 
   1.20722148 -149.65509041 
   1.19715436 -149.65677925 
   1.18708725 -149.65813837 
   1.17702013 -149.65914313 
   1.16695302 -149.65976726 
   1.15688591 -149.65998282 
   1.14681879 -149.65976005 
   1.13675168 -149.65906731 
   1.12668456 -149.65787094 
   1.11661745 -149.65613513 
   1.10655034 -149.65382186 
   1.09648322 -149.65089069 
   1.08641611 -149.64729868 
   1.07634899 -149.64300024 
   1.06628188 -149.63794695 
   1.05621477 -149.63208741 
   1.04614765 -149.62536708 
   1.03608054 -149.61772807 
   1.02601342 -149.60910896 
   1.01594631 -149.59944460 
   1.00587919 -149.58866584 
   0.99581208 -149.57669932 
   0.98574497 -149.56346723 
   0.97567785 -149.54888698 
   0.96561074 -149.53287089 
   0.95554362 -149.51532595 
   0.94547651 -149.49615338 
   0.93540940 -149.47524829 
   0.92534228 -149.45249928 
   0.91527517 -149.42778796 
   0.90520805 -149.40098852 
   0.89514094 -149.37196716 
   0.88507383 -149.34058160 
   0.87500671 -149.30668043 
   0.86493960 -149.27010245 
   0.85487248 -149.23067603 
   0.84480537 -149.18821825 
   0.83473826 -149.14253417 
   0.82467114 -149.09341583 
   0.81460403 -149.04064139 
   0.80453691 -148.98397400 
   0.79446980 -148.92316072 
   0.78440268 -148.85793124 
   0.77433557 -148.78799658 
   0.76426846 -148.71304764 
   0.75420134 -148.63275354 
   0.74413423 -148.54676010 
   0.73406711 -148.45468786 
   0.72400000 -148.35613011 
